l30_4,county,state,Total00,hud_units00,units00,pop2011_13,state_flag,Units_No_Assist_00,Gap_00,Gap_00_No_Assist,per100,per100_No_Assist,state_total00,state_units00,state_hud_units00,State_Units_No_Assist_00,State_Gap_00,State_Gap_00_No_Assist,State_per100,State_per100_No_Assist,MinEli,MaxEli,min_max_same
,National,,8165441,1733966,3004106,,1,1270140,5161335,6895301,36.79049301,15.55506922,,,,0,,,,0,,,1
14350,01001,01,778.3812726,76,449.3153692,55263,0,373.3153692,329.0659034,405.0659034,57.72432932,47.96047674,,,,,,,,,,,
13000,01003,01,1581,367,760,190981,0,393,821,1188,48.07084124,24.85768501,,,,,,,,,,,
11150,01005,01,912.4272619,295,622.2123024,27203,0,327.2123024,290.2149595,585.2149595,68.19308545,35.8617411,,,,,,,,,,,
11150,01007,01,466.3478261,58,285.9130435,22648,0,227.9130435,180.4347826,238.4347826,61.30896886,48.87190006,,,,,,,,,,,
14950,01009,01,744.8445014,232,546.2193011,57807,0,314.2193011,198.6252004,430.6252004,73.33333333,42.18589255,,,,,,,,,,,
11150,01011,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
11150,01013,01,660.8987645,169,450.6872592,20437,0,281.6872592,210.2115053,379.2115053,68.19308545,42.62184685,,,,,,,,,,,
11150,01015,01,2822,667,1377,117253,0,710,1445,2112,48.79518072,25.15946137,,,,,,,,,,,
11150,01017,01,979.5780457,186,641.9286168,34077,0,455.9286168,337.6494289,523.6494289,65.53113553,46.54336822,,,,,,,,,,,
11150,01019,01,565.2571596,81,358.349211,26116,0,277.349211,206.9079486,287.9079486,63.39578454,49.06602354,,,,,,,,,,,
11150,01021,01,625.3362944,70,409.7899746,43846,0,339.7899746,215.5463198,285.5463198,65.53113553,54.33715869,,,,,,,,,,,
11150,01023,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
11150,01025,01,610.7676835,73,449.8478042,25347,0,376.8478042,160.9198793,233.9198793,73.65284974,61.7006784,,,,,,,,,,,
11150,01027,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
11150,01029,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
12600,01031,01,1469.306931,272,1011.881188,50906,0,739.8811881,457.4257426,729.4257426,68.86792453,50.35579515,,,,,,,,,,,
12400,01033,01,1536.733235,359,808.1335667,54450,0,449.1335667,728.5996684,1087.599668,52.58775878,29.22651482,,,,,,,,,,,
11150,01035,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
11150,01037,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
11150,01039,01,1015.920792,268,699.6435644,37932,0,431.6435644,316.2772277,584.2772277,68.86792453,42.48791517,,,,,,,,,,,
11150,01041,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
11150,01043,01,1523.951985,238,952.4699907,80566,0,714.4699907,571.4819945,809.4819945,62.5,46.88271006,,,,,,,,,,,
11400,01045,01,1324.826755,291,653.714369,50106,0,362.714369,671.1123858,962.1123858,49.34338521,27.3782491,,,,,,,,,,,
11150,01047,01,2961.043725,731,1815.385376,42618,0,1084.385376,1145.65835,1876.65835,61.30896886,36.62172788,,,,,,,,,,,
11150,01049,01,1304.83398,327,930.9055628,71137,0,603.9055628,373.9284174,700.9284174,71.34283571,46.28217627,,,,,,,,,,,
14350,01051,01,1058.112042,92,610.78808,80443,0,518.78808,447.3239624,539.3239624,57.72432932,49.02959792,,,,,,,,,,,
11150,01053,01,1140.013409,194,839.6523634,38094,0,645.6523634,300.3610459,494.3610459,73.65284974,56.63550605,,,,,,,,,,,
11150,01055,01,2952,731,1504,104188,0,773,1448,2179,50.94850949,26.18563686,,,,,,,,,,,
11150,01057,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
11150,01059,01,1158.6317,248,840.8296613,31661,0,592.8296613,317.8020388,565.8020388,72.57091803,51.16635953,,,,,,,,,,,
11150,01061,01,588.7722772,137,405.4752475,26837,0,268.4752475,183.2970297,320.2970297,68.86792453,45.59916591,,,,,,,,,,,
11150,01063,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
11150,01065,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
11150,01067,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
11400,01069,01,2787.173245,711,1375.285631,103112,0,664.285631,1411.887614,2122.887614,49.34338522,23.83366847,,,,,,,,,,,
11150,01071,01,1361.16602,240,971.0944372,53078,0,731.0944372,390.0715826,630.0715826,71.34283571,53.71089394,,,,,,,,,,,
14950,01073,01,25237,6590,13177,658601,0,6587,12060,18650,52.21302057,26.10056663,,,,,,,,,,,
11150,01075,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
12400,01077,01,2907.266765,585,1528.866433,92693,0,943.8664333,1378.400332,1963.400332,52.58775878,32.46576629,,,,,,,,,,,
12600,01079,01,556.0211215,132,300.8659794,33806,0,168.8659794,255.1551421,387.1551421,54.11053066,30.37042531,,,,,,,,,,,
13300,01081,01,6913,651,2366,147537,0,1715,4547,5198,34.22537249,24.80833213,,,,,,,,,,,
15000,01083,01,1235.042268,270,695.4086931,87255,0,425.4086931,539.6335751,809.6335751,56.3064691,34.44486914,,,,,,,,,,,
11150,01085,01,,,,,1,,,,,,6880.630527,4755.542987,1874,2881.542987,2125.08754,3999.08754,69.11493021,41.87905419,11150,11150,1
11150,01087,01,1099.800717,305,749.988043,20429,0,444.988043,349.8126744,654.8126744,68.19308545,40.46078858,,,,,,,,,,,
