county,Housing gap,Total ELI renters,Housing gap (asst off),Units per 100 renters,Units per 100 renters (asst off),Number of HUD asst units,AAA units,AAA units (asst off)
National,6439112,9644199,8751959,33,9,2312847,3205087,892240
1001,811,1139,944,29,17,133,327,194
1003,1855,2624,2296,29,13,441,769,328
1005,582,1502,1005,61,33,423,920,497
1007,218,470,282,54,40,64,252,188
1009,192,679,494,72,27,302,487,185
1011,207,534,396,61,26,189,327,138
1013,345,891,574,61,36,229,546,317
1015,2541,4025,3630,37,10,1089,1484,395
1017,578,1351,899,57,33,321,773,452
1019,142,377,268,62,29,126,235,109
1021,564,1318,665,57,50,101,754,653
1023,122,302,125,60,59,3,180,177
1025,280,694,341,60,51,61,413,352
1027,73,194,239,62,0,166,121,0
1029,97,257,167,62,35,70,160,90
1031,251,1015,599,75,41,348,764,416
1033,1115,1889,1798,41,5,683,774,91
1035,151,374,302,60,19,151,223,72
1037,57,134,63,57,53,6,77,71
1039,159,642,457,75,29,298,483,185
1041,191,492,386,61,22,195,301,106
1043,1499,2345,1847,36,21,348,846,498
1045,613,1277,1222,52,4,609,665,56
1047,1521,3281,2490,54,24,969,1761,792
1049,226,1227,668,82,46,442,1001,559
1051,1043,1464,1164,29,20,121,421,300
1053,685,1695,897,60,47,212,1010,798
1055,2045,3667,3063,44,16,1018,1622,604
1057,95,380,271,75,29,176,285,109
1059,179,716,533,75,26,354,537,183
1061,101,408,327,75,20,226,307,81
1063,225,486,395,54,19,170,261,91
1065,220,475,333,54,30,113,255,142
1067,168,433,315,61,27,147,265,118
1069,1385,2889,2325,52,19,940,1503,563
1071,232,1256,574,82,54,342,1024,682
1073,14405,22274,21917,35,2,7512,7869,357
1075,78,312,253,75,19,175,234,59
1077,2090,3541,3087,41,13,997,1451,454
1079,514,876,673,41,23,159,362,203
1081,5103,7672,6185,33,19,1082,2569,1487
1083,811,1723,1290,53,25,479,912,433
1085,170,420,255,60,39,85,250,165
1087,529,1365,906,61,34,377,836,459
1089,4965,9197,7359,46,20,2394,4232,1838
1091,458,989,704,54,29,246,531,285
1093,151,606,536,75,11,385,455,70
1095,1891,2957,2875,36,3,984,1066,82
1097,10248,15559,15066,34,3,4818,5311,493
1099,370,914,506,60,45,136,545,409
1101,7919,11539,10662,31,8,2743,3620,877
1103,2576,4391,3593,41,18,1017,1815,798
1105,299,646,417,54,35,118,347,229
1107,146,586,365,75,38,219,440,221
1109,885,2284,1436,61,37,551,1399,848
1111,132,350,233,62,33,101,218,117
1113,1295,3343,2079,61,38,784,2047,1263
1115,340,1199,501,72,58,161,860,699
1117,1629,2197,1908,26,13,279,568,289
1119,158,633,391,75,38,233,475,242
1121,860,2279,1792,62,21,932,1419,487
1123,614,1436,1038,57,28,424,822,398
1125,5556,9078,7763,39,14,2207,3522,1315
1127,468,1654,955,72,42,487,1185,698
1129,98,243,118,60,51,20,145,125
1131,170,419,285,60,32,115,250,135
1133,502,785,716,36,9,214,283,69
2013,10,28,10,64,64,,18,18
2016,16,45,16,64,64,,29,29
2020,5798,6909,7386,16,0,1588,1111,0
2050,77,213,123,64,42,46,136,90
2060,6,16,6,64,64,,10,10
2068,12,15,12,21,21,,3,3
2070,31,86,34,64,60,3,55,52
2090,2055,2588,2470,21,5,415,533,118
2100,54,68,54,21,21,,14,14
2110,693,873,1065,21,0,372,180,0
2122,655,824,803,21,3,148,169,21
2150,249,688,281,64,59,32,439,407
2164,20,55,20,64,64,,35,35
2170,645,812,762,21,6,117,167,50
2180,59,163,65,64,60,6,104,98
2185,60,167,62,64,63,2,107,105
2188,42,116,43,64,63,1,74,73
2220,305,384,343,21,11,38,79,41
2232,,,,0,0,,0,0
2240,46,58,46,21,21,,12,12
2261,130,163,159,21,3,29,34,5
2270,18,51,19,64,62,1,32,31
2282,6,17,6,64,64,,11,11
2290,42,117,42,64,64,,75,75
2999,405,510,541,21,0,136,105,0
4001,509,692,568,26,18,59,183,124
4003,1865,3171,2266,41,29,401,1307,906
4005,910,2694,1279,66,53,369,1784,1415
4007,443,870,484,49,44,41,428,387
4009,349,593,367,41,38,18,244,226
4011,38,65,38,41,41,,27,27
4012,240,358,240,33,33,,118,118
4013,65133,83234,76399,22,8,11266,18101,6835
4015,2920,4360,3200,33,27,280,1440,1160
4017,1281,1740,1380,26,21,99,459,360
4019,21725,26787,26120,19,2,4395,5062,667
4021,2508,4930,3139,49,36,631,2423,1792
4023,402,683,648,41,5,246,281,35
4025,3068,3802,3217,19,15,149,734,585
4027,3137,3865,4070,19,0,933,728,0
5001,563,981,791,43,19,228,418,190
5003,463,766,642,40,16,179,303,124
5005,512,878,736,42,16,224,367,143
5007,2937,3383,3478,13,0,541,446,0
5009,385,661,738,42,0,353,276,0
5011,393,651,516,40,21,123,257,134
5013,27,40,38,32,5,11,13,2
5015,434,745,543,42,27,109,311,202
5017,404,669,498,40,25,94,264,170
5019,455,768,705,41,8,250,313,63
5021,212,341,331,38,3,119,129,10
5023,258,544,333,53,39,75,286,211
5025,125,207,151,40,27,26,82,56
5027,784,1160,959,32,17,175,376,201
5029,374,449,510,17,0,136,76,0
5031,1847,2974,2934,38,1,1087,1127,40
5033,869,1203,1258,28,0,389,334,0
