county,ELI_Cutoff,Number of ELI HHs surveyed,Unweighted ELI obs < 10,State Name,County Name,Housing gap,Total ELI renters,Number of HUD asst units,Housing gap (asst off),Units per 100 renters,Units per 100 renters (asst off),AAA units,AAA units (asst off),Total Population 2013,"AAA units (asst off, no neg)",check,check_noasst
1001,18450,11.90263406,0,Alabama,Autauga County,959.6923801,1357.580433,146,1105.69238,29.30861723,18.55418998,397.8880527,251.8880527,,251.8880527,1357.580433,1357.580433
1003,18100,29,0,Alabama,Baldwin County,2529,4325,491,3020,41.52601156,30.17341041,1796,1305,195540,1305,4325,4325
1005,13800,8.476091248,1,Alabama,Barbour County,401.2451195,785.668458,405,806.2451195,48.92946058,0,384.4233385,-20.57666155,,0,785.668458,785.668458
1007,17900,5.530071201,1,Alabama,Bibb County,441.4840176,652.9580367,82,523.4840176,32.38707654,19.82884226,211.4740191,129.4740191,,129.4740191,652.9580367,652.9580367
1009,17900,6.62456946,1,Alabama,Blount County,392.836969,721.4156142,267,659.836969,45.54637282,8.535807102,328.5786452,61.57864524,,61.57864524,721.4156142,721.4156142
1011,13800,2.630511077,1,Alabama,Bullock County,124.5243474,243.8281421,178,302.5243474,48.92946058,0,119.3037947,-58.69620531,,0,243.8281421,243.8281421
1013,13800,10.69214437,0,Alabama,Butler County,462.6579972,764.9338287,211,673.6579972,39.51659872,11.93251339,302.2758316,91.27583156,,91.27583156,764.9338287,764.9338287
1015,15950,43,0,Alabama,Calhoun County,3832,6088,1118,4950,37.0565046,18.69250986,2256,1138,116736,1138,6088,6088
1017,13800,11.80474934,0,Alabama,Chambers County,886.0939974,1444.237302,269,1155.093997,38.64623244,20.02048447,558.1433048,289.1433048,,289.1433048,1444.237302,1444.237302
1019,15100,6.066531087,1,Alabama,Cherokee County,488.1961069,823.2921267,122,610.1961069,40.7019585,25.88340309,335.0960198,213.0960198,,213.0960198,823.2921267,823.2921267
1021,15600,8.949868074,1,Alabama,Chilton County,671.7994723,1094.960422,123,794.7994723,38.64623244,27.41294971,423.1609499,300.1609499,,300.1609499,1094.960422,1094.960422
1023,13800,3.453843026,1,Alabama,Choctaw County,171.2379016,335.3257422,1,172.2379016,48.93386339,48.6356459,164.0878406,163.0878406,,163.0878406,335.3257422,335.3257422
1025,13800,11.04534364,0,Alabama,Clarke County,547.6165108,1072.367222,79,626.6165108,48.93386339,41.56698399,524.7507117,445.7507117,,445.7507117,1072.367222,1072.367222
1027,13850,2.268739105,1,Alabama,Clay County,182.5737943,307.891778,154,336.5737943,40.7019585,0,125.3179837,-28.68201627,,0,307.891778,307.891778
1029,13800,2.158338176,1,Alabama,Cleburne County,173.6894248,292.9092098,62,235.6894248,40.7019585,19.53499006,119.219785,57.21978501,,57.21978501,292.9092098,292.9092098
1031,17500,19.65180467,0,Alabama,Coffee County,850.3499646,1405.922859,406,1256.349965,39.51659872,10.63876966,555.5728946,149.5728946,,149.5728946,1405.922859,1405.922859
1033,15350,15.5082358,0,Alabama,Colbert County,976.1729519,1720.004335,655,1631.172952,43.24590164,5.164602261,743.8313828,88.83138275,,88.83138275,1720.004335,1720.004335
1035,13800,6.154331029,1,Alabama,Conecuh County,305.1252542,597.5099634,170,475.1252542,48.93386339,20.48245498,292.3847092,122.3847092,,122.3847092,597.5099634,597.5099634
1037,15050,1.366754617,1,Alabama,Coosa County,102.5920185,167.2138852,1,103.5920185,38.64623244,38.04819598,64.62186676,63.62186676,,63.62186676,167.2138852,167.2138852
1039,13850,12.81528662,0,Alabama,Covington County,554.5281316,916.8269639,271,825.5281316,39.51659872,9.958131236,362.2988323,91.29883227,,91.29883227,916.8269639,916.8269639
1041,14950,4.840764331,1,Alabama,Crenshaw County,209.4639066,346.3163482,209,418.4639066,39.51659872,0,136.8524416,-72.14755839,,0,346.3163482,346.3163482
1043,14750,18.46909628,0,Alabama,Cullman County,1094.494706,2053.281704,341,1435.494706,46.69534611,30.08778567,958.7869983,617.7869983,80811,617.7869983,2053.281704,2053.281704
1045,16150,32.65660413,0,Alabama,Dale County,1034.68403,1722.705647,534,1568.68403,39.93843163,8.94068103,688.021617,154.021617,,154.021617,1722.705647,1722.705647
1047,13800,25.26162703,0,Alabama,Dallas County,2016.719891,2982.743221,994,3010.719891,32.38707654,0,966.0233298,-27.9766702,,0,2982.743221,2982.743221
1049,13800,13.00203725,0,Alabama,DeKalb County,546.0855646,1305.924622,409,955.0855646,58.18399044,26.86518435,759.839057,350.839057,71013,350.839057,1305.924622,1305.924622
1051,18450,15.06349953,0,Alabama,Elmore County,1214.548448,1718.099718,132,1346.548448,29.30861723,21.62571044,503.55127,371.55127,80902,371.55127,1718.099718,1718.099718
1053,13800,19.91175275,0,Alabama,Escambia County,987.2037414,1933.186661,190,1177.203741,48.93386339,39.10553156,945.9829199,755.9829199,,755.9829199,1933.186661,1933.186661
1055,13800,25,0,Alabama,Etowah County,1328,2382,900,2228,44.24853065,6.465155332,1054,154,103931,154,2382,2382
1057,13800,6.413043478,1,Alabama,Fayette County,241.451087,670.8043478,171,412.451087,64.00573614,38.51395145,429.3532609,258.3532609,,258.3532609,670.8043478,670.8043478
1059,14150,7.557433897,1,Alabama,Franklin County,475.7061118,838.1881231,374,849.7061118,43.24590164,0,362.4820113,-11.51798873,,0,838.1881231,838.1881231
1061,15000,12.55680411,0,Alabama,Geneva County,397.8467765,662.3982478,250,647.8467765,39.93843163,2.196785897,264.5514713,14.55147129,,14.55147129,662.3982478,662.3982478
1063,16700,2.503257082,1,Alabama,Greene County,199.8433571,295.5697622,169,368.8433571,32.38707654,0,95.72640509,-73.27359491,,0,295.5697622,295.5697622
1065,16700,3.411301318,1,Alabama,Hale County,272.3355552,402.7862445,105,377.3355552,32.38707654,6.318659,130.4506893,25.45068929,,25.45068929,402.7862445,402.7862445
1067,14950,5.270069517,1,Alabama,Henry County,166.9756214,278.0074279,118,284.9756214,39.93843163,0,111.0318065,-6.968193505,,0,278.0074279,278.0074279
1069,15000,66.51652224,0,Alabama,Houston County,2107.493572,3508.888677,999,3106.493572,39.93843163,11.46787893,1401.395105,402.3951052,103668,402.3951052,3508.888677,3508.888677
1071,14500,11.99796275,0,Alabama,Jackson County,503.9144354,1205.075378,363,866.9144354,58.18399044,28.06139342,701.160943,338.160943,,338.160943,1205.075378,1205.075378
1073,17900,241,0,Alabama,Jefferson County,19668,30341,10398,30066,35.17682344,0.906364326,10673,275,659479,275,30341,30341
1075,13800,4.64673913,1,Alabama,Lamar County,174.9497283,486.048913,194,368.9497283,64.00573614,24.09205774,311.0991848,117.0991848,,117.0991848,486.048913,486.048913
1077,15350,30.45026008,0,Alabama,Lauderdale County,1916.705462,3377.210663,996,2912.705462,43.24590164,13.75410799,1460.505202,464.5052016,92797,464.5052016,3377.210663,3377.210663
1079,16550,4.458221024,1,Alabama,Lawrence County,302.8803908,526.6273585,156,458.8803908,42.48677249,12.86430843,223.7469677,67.74696766,,67.74696766,526.6273585,526.6273585
1081,18900,48,0,Alabama,Lee County,5970,7547,1025,6995,20.89572015,7.314164569,1577,552,150933,552,7547,7547
1083,21450,18.4857662,0,Alabama,Limestone County,1093.741167,2642.848375,529,1622.741167,58.61506179,38.59877916,1549.107208,1020.107208,88845,1020.107208,2642.848375,2642.848375
1085,18450,1.860301035,1,Alabama,Lowndes County,149.9934149,212.1806209,148,297.9934149,29.30861723,0,62.18720602,-85.81279398,,0,212.1806209,212.1806209
1087,13800,8.832529063,1,Alabama,Macon County,418.1183374,818.7075017,458,876.1183374,48.92946058,0,400.5891643,-57.41083571,,0,818.7075017,818.7075017
1089,21450,103.9965226,0,Alabama,Madison County,9428.523138,13433.49223,2396,11824.52314,29.81331302,11.9772957,4004.969087,1608.969087,346892,1608.969087,13433.49223,13433.49223
1091,13950,6.716255113,1,Alabama,Marengo County,536.1810332,793.0156037,228,764.1810332,32.38707654,3.636065972,256.8345705,28.83457052,,28.83457052,793.0156037,793.0156037
1093,14100,9.772113699,1,Alabama,Marion County,405.4603116,1031.526227,405,810.4603116,60.69316504,21.4309544,626.0659153,221.0659153,,221.0659153,1031.526227,1031.526227
1095,15250,54.51771117,0,Alabama,Marshall County,1078.735695,2786.659401,1010,2088.735695,61.28928801,25.04517436,1707.923706,697.9237057,94760,697.9237057,2786.659401,2786.659401
1097,15700,117,0,Alabama,Mobile County,10960,14509,6158,17118,24.46067958,0,3549,-2609,414079,0,14509,14509
1099,13800,9.5849939,1,Alabama,Monroe County,475.2139081,930.5851972,138,613.2139081,48.93386339,34.10448502,455.3712891,317.3712891,,317.3712891,930.5851972,930.5851972
1101,18450,95.17356538,0,Alabama,Montgomery County,8636.765757,12116.13923,3120,11756.76576,28.71684953,2.96607248,3479.373471,359.3734713,226659,359.3734713,12116.13923,12116.13923
1103,16550,27.54177898,0,Alabama,Morgan County,1871.119609,3253.372642,820,2691.119609,42.48677249,17.28215899,1382.253032,562.2530324,119787,562.2530324,3253.372642,3253.372642
1105,13800,3.313134374,1,Alabama,Perry County,264.4985608,391.1952734,158,422.4985608,32.38707654,0,126.6967126,-31.30328738,,0,391.1952734,391.1952734
1107,13800,7.184434536,1,Alabama,Pickens County,311.6676125,565.5176328,211,522.6676125,44.88808228,7.577132486,253.8500203,42.85002027,,42.85002027,565.5176328,565.5176328
1109,13800,18.47060759,0,Alabama,Pike County,874.370147,1712.083242,455,1329.370147,48.92946058,22.35364996,837.713095,382.713095,,382.713095,1712.083242,1712.083242
1111,13900,5.807088902,1,Alabama,Randolph County,467.3178385,788.0830912,98,565.3178385,40.7019585,28.26672152,320.7652528,222.7652528,,222.7652528,788.0830912,788.0830912
1113,14900,26.59026102,0,Alabama,Russell County,1258.742049,2464.712656,853,2111.742049,48.92946058,14.32096381,1205.970608,352.9706076,,352.9706076,2464.712656,2464.712656
1115,17900,13.37543054,0,Alabama,St. Clair County,793.163031,1456.584386,184,977.163031,45.54637282,32.91408033,663.4213548,479.4213548,86308,479.4213548,1456.584386,1456.584386
1117,17900,15,0,Alabama,Shelby County,1710,2283,293,2003,25.09855453,12.26456417,573,280,204180,280,2283,2283
1119,13800,7.264353886,1,Alabama,Sumter County,579.9375852,857.7318588,280,859.9375852,32.38707654,0,277.7942736,-2.205726405,,0,857.7318588,857.7318588
1121,13800,21.69930273,0,Alabama,Talladega County,1746.222836,2944.823794,896,2642.222836,40.7019585,10.27568982,1198.600959,302.6009587,81096,302.6009587,2944.823794,2944.823794
1123,15250,9.878627968,1,Alabama,Tallapoosa County,741.5145119,1208.588391,415,1156.514512,38.64623244,4.308652891,467.0738786,52.07387863,,52.07387863,1208.588391,1208.588391
1125,16700,63.81556546,0,Alabama,Tuscaloosa County,5053.332388,7052.482367,2248,7301.332388,28.34675616,0,1999.14998,-248.8500203,200821,0,7052.482367,7052.482367
1127,13900,20.65217391,0,Alabama,Walker County,777.5543478,2160.217391,544,1321.554348,64.00573614,38.82308544,1382.663044,838.6630435,65998,838.6630435,2160.217391,2160.217391
1129,16500,2.619357462,1,Alabama,Washington County,129.8649858,254.3074421,22,151.8649858,48.93386339,40.28291719,124.4424563,102.4424563,,102.4424563,254.3074421,254.3074421
1131,13800,4.230378203,1,Alabama,Wilcox County,209.7376983,410.7177715,76,285.7376983,48.93386339,30.42967261,200.9800732,124.9800732,,124.9800732,410.7177715,410.7177715
1133,13800,4.530903718,1,Alabama,Winston County,268.5052943,503.718296,211,479.5052943,46.69534611,4.806853735,235.2130017,24.21300172,,24.21300172,503.718296,503.718296
2013,22150,0.666466527,1,Alaska,Aleutians East Borough,11.33893726,21.30891624,,11.33893726,46.78782756,46.78782756,9.969978985,9.969978985,,9.969978985,21.30891624,21.30891624
2016,27400,3.199039328,1,Alaska,Aleutians West Census Area,54.42689883,102.282798,,54.42689883,46.78782756,46.78782756,47.85589913,47.85589913,,47.85589913,102.282798,102.282798
2020,26350,25,0,Alaska,Anchorage Municipality,3664,5651,2020,5684,35.16191825,0,1987,-33,300950,0,5651,5651
2050,24850,8.26418493,1,Alaska,Bethel Census Area,140.602822,264.2305614,71,211.602822,46.78782756,19.91735518,123.6277394,52.62773942,,52.62773942,264.2305614,264.2305614
2060,24950,0.644250976,1,Alaska,Bristol Bay Borough,10.96097268,20.59861903,,10.96097268,46.78782756,46.78782756,9.637646352,9.637646352,,9.637646352,20.59861903,20.59861903
2068,27900,0.082017071,1,Alaska,Denali Borough,4.790542529,8.533503385,,4.790542529,43.86194845,43.86194845,3.742960856,3.742960856,,3.742960856,8.533503385,8.533503385
2070,22150,2.776943861,1,Alaska,Dillingham Census Area,47.2455719,88.78715101,2,49.2455719,46.78782756,44.53524937,41.54157911,39.54157911,,39.54157911,88.78715101,88.78715101
2090,24100,14.92926518,0,Alaska,Fairbanks North Star Borough,872.0048072,1553.322182,498,1370.004807,43.86194845,11.80163245,681.3173747,183.3173747,100436,183.3173747,1553.322182,1553.322182
2100,22250,0.373393505,1,Alaska,Haines Borough,21.8095752,38.84989699,1,22.8095752,43.86194845,41.28793905,17.04032179,16.04032179,,16.04032179,38.84989699,38.84989699
2110,28250,3.718826646,1,Alaska,Juneau City and Borough,217.2132836,386.9270087,430,647.2132836,43.86194845,0,169.7137251,-260.2862749,,0,386.9270087,386.9270087
2122,22750,9.885590015,1,Alaska,Kenai Peninsula Borough,792.8243192,880.212935,151,943.8243192,9.928122192,0,87.38861573,-63.61138427,,0,880.212935,880.212935
2130,,,,,,,,,,0,0,,,,0,,
2150,22150,12.88501951,0,Alaska,Kodiak Island Borough,219.2194536,411.9723807,42,261.2194536,46.78782756,36.59296937,192.7529271,150.7529271,,150.7529271,411.9723807,411.9723807
2164,22150,0.399879916,1,Alaska,Lake and Peninsula Borough,6.803362354,12.78534975,,6.803362354,46.78782756,46.78782756,5.981987391,5.981987391,,5.981987391,12.78534975,12.78534975
2170,24750,15.11440999,0,Alaska,Matanuska-Susitna Borough,1212.175681,1345.787065,181,1393.175681,9.928122192,0,133.6113843,-47.38861573,95192,0,1345.787065,1345.787065
2180,22500,7.086760733,1,Alaska,Nome Census Area,120.5706995,226.5848094,9,129.5706995,46.78782756,42.81580489,106.0141099,97.01410988,,97.01410988,226.5848094,226.5848094
2185,22550,2.221555089,1,Alaska,North Slope Borough,37.79645752,71.02972081,,37.79645752,46.78782756,46.78782756,33.23326328,33.23326328,,33.23326328,71.02972081,71.02972081
2188,22150,3.287901531,1,Alaska,Northwest Arctic Borough,55.93875713,105.1239868,3,58.93875713,46.78782756,43.93405451,49.18522966,46.18522966,,46.18522966,105.1239868,105.1239868
2201,,,,,,,,,,0,0,,,,0,,
2220,22600,14.99549685,0,Alaska,Sitka City and Borough,255.1260883,479.4506154,34,289.1260883,46.78782756,39.6963777,224.3245272,190.3245272,,190.3245272,479.4506154,479.4506154
2232,23525,2.230450475,1,,,41.0749056,76.75863493,1,42.0749056,46.48822815,45.18544313,35.68372933,34.68372933,,34.68372933,76.75863493,76.75863493
2240,22150,0.43598548,1,Alaska,Southeast Fairbanks Census Area,25.46551555,45.36230747,,25.46551555,43.86194845,43.86194845,19.89679192,19.89679192,,19.89679192,45.36230747,45.36230747
2261,23250,0.535269303,1,Alaska,Valdez-Cordova Census Area,31.26459335,55.69233788,41,72.26459335,43.86194845,0,24.42774453,-16.57225547,,0,55.69233788,55.69233788
2270,22150,1.51065746,1,Alaska,Wade Hampton Census Area,25.70159111,48.30021015,1,26.70159111,46.78782756,44.71744319,22.59861903,21.59861903,,21.59861903,48.30021015,48.30021015
2280,,,,,,,,,,0,0,,,,0,,
2282,24900,0.710897628,1,Alaska,Yakutat City and Borough,12.09486641,22.72951066,,12.09486641,46.78782756,46.78782756,10.63464425,10.63464425,,10.63464425,22.72951066,22.72951066
2290,22150,2.843590513,1,Alaska,Yukon-Koyukuk Census Area,48.37946563,90.91804263,,48.37946563,46.78782756,46.78782756,42.538577,42.538577,,42.538577,90.91804263,90.91804263
2999,23200,12.20214749,0,,,284.1708328,523.4514569,141,425.1708328,45.7120944,18.7754992,239.2806241,98.28062409,,98.28062409,523.4514569,523.4514569
4001,14750,19.2302943,0,Arizona,Apache County,714.945462,1162.247376,57,771.945462,38.48594742,33.58165585,447.301914,390.301914,71934,390.301914,1162.247376,1162.247376
4003,16250,35.46536771,0,Arizona,Cochise County,2897.816087,4105.855174,549,3446.816087,29.42235019,16.05120151,1208.039088,659.0390876,129473,659.0390876,4105.855174,4105.855174
4005,18650,41,0,Arizona,Coconino County,4169,4860,416,4585,14.218107,5.658436214,691,275,136539,275,4860,4860
4007,14800,14.59521869,0,Arizona,Gila County,611.8315675,1270.367835,47,658.8315675,51.83823529,48.13851946,658.5362673,611.5362673,,611.5362673,1270.367835,1270.367835
4009,15300,6.642216789,1,Arizona,Graham County,278.4417278,578.1385493,29,307.4417278,51.83823529,46.82213664,299.6968215,270.6968215,,270.6968215,578.1385493,578.1385493
4011,16500,1.718283075,1,Arizona,Greenlee County,72.03042652,149.5593589,,72.03042652,51.83823529,51.83823529,77.52893236,77.52893236,,77.52893236,149.5593589,149.5593589
4012,14750,2.41379892,1,Arizona,La Paz County,198.0492578,242.2629892,,198.0492578,18.25030377,18.25030377,44.21373144,44.21373144,,44.21373144,242.2629892,242.2629892
4013,18950,1058,0,Arizona,Maricopa County,99378,119029,12994,112372,16.50942207,5.592754707,19651,6657,4009412,6657,119029,119029
4015,14800,38.58620108,0,Arizona,Mohave County,3165.950742,3872.737011,191,3356.950742,18.25030377,13.31839129,706.7862686,515.7862686,203030,515.7862686,3872.737011,3872.737011
4017,14750,53.7697057,0,Arizona,Navajo County,1999.054538,3249.752624,91,2090.054538,38.48594742,35.68573428,1250.698086,1159.698086,107322,1159.698086,3249.752624,3249.752624
4019,17950,321,0,Arizona,Pima County,29391,39032,4792,34183,24.70024595,12.42313999,9641,4849,996554,4849,39032,39032
4021,18950,71.04428145,0,Arizona,Pinal County,5466.696278,7778.934257,496,5962.696278,29.72435429,23.34815951,2312.237979,1816.237979,389350,1816.237979,7778.934257,7778.934257
4023,14750,12.53463229,0,Arizona,Santa Cruz County,1024.183914,1451.144826,277,1301.183914,29.42235019,10.33397286,426.9609124,149.9609124,,149.9609124,1451.144826,1451.144826
