l30_4,county,Total,eli,pbv,PH,unitsnoasst_old,countyname,population,usda,state_flag,fed,Unitsnoasst,units,Units_no_usda,Gap_No_assisted,Gap_No_USDA,Per100_No_USDA,Units_No_HUD,Per100_No_HUD,Gap_No_HUD,Gap,PHper100,PBVper100,eliper100,USDAper100,Fedper100,per100,per100_no_assisted,over_flag,over_flag_no_HUD,over_flag_no_USDA,ST_Total,ST_eli,ST_PBV,ST_PH,ST_Unitsnoasst,units_noUSDA,per100_noUSDA,ST_per100_No_Assisted,ST_gap_no_assisted,ST_usda,ST_population,ST_Units_no_USDA,ST_Per100_No_USDA,ST_fed,ST_Units,ST_Units_No_HUD,ST_Gap_No_HUD,ST_Gap_No_USDA,ST_Gap,ST_per100,ST_per100_No_HUD,ST_over_flag,ST_PHper100,ST_PBVper100,ST_eliper100,ST_USDAper100,ST_fedper100,ST_All_HUD,ST_All_HUD_noPH,MinEli,MaxEli,State,min_max_same,statename
14350,01001,778.38127256,8,38,30,449.31536918,Autauga,43671,25,0,101,356.31536918,457.31536918,432.31536918,422.06590339,346.06590339,55.540309668,381.31536918,48.988250696,397.06590339,321.06590339,3.8541523361,4.8819262923,1.0277739563,3.2117936134,12.975646198,58.752103281,45.776457083,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
13000,01003,1581,86,200,79,760,Baldwin,140415,174,0,539,307,846,672,1274,909,42.504743833,481,30.423782416,1100,735,4.9968374447,12.650221379,5.4395951929,11.0056926,34.092346616,53.510436433,19.418089817,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
11150,01005,912.42726186,81,72,142,628.87843762,Barbour,29038,193,0,488,221.87843762,709.87843762,516.87843762,690.54882423,395.54882423,56.648727984,414.87843762,45.469754683,497.54882423,202.54882423,15.5628844,7.8910399776,8.8774199748,21.152371051,53.483715404,77.801099036,24.317383632,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
11150,01007,466.34782609,0,32,26,288.08695652,Bibb,20826,173,0,231,57.086956522,288.08695652,115.08695652,409.26086957,351.26086957,24.678351669,230.08695652,49.338057058,236.26086957,178.26086957,5.5752377401,6.8618310647,0,37.096774194,49.533842998,61.775125862,12.241282864,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
14950,01009,744.84450144,35,60,136,546.21930106,Blount,51024,96,0,327,254.21930106,581.21930106,485.21930106,490.62520038,259.62520038,65.143704507,350.21930106,47.019116122,394.62520038,163.62520038,18.258844596,8.0553726159,4.6989673593,12.888596185,43.901780756,78.032300693,34.130519936,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
11150,01013,660.89876445,39,25,105,455.51574332,Butler,21399,182,0,351,143.51574332,494.51574332,312.51574332,517.38302112,348.38302112,47.286477163,325.51574332,49.253495518,335.38302112,166.38302112,15.887455939,3.7827276044,5.9010550629,27.53825696,53.109495566,74.824734124,21.715238558,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
11150,01015,2822,133,179,354,1377,Calhoun,112249,72,0,738,772,1510,1438,2050,1384,50.956768249,844,29.907866761,1978,1312,12.544294826,6.3430191354,4.7129695252,2.5513819986,26.151665485,53.508150248,27.356484763,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
11150,01017,979.57804569,0,18,168,641.92861675,Chambers,36583,71,0,257,384.92861675,641.92861675,570.92861675,594.64942893,408.64942893,58.283116824,455.92861675,46.543368214,523.64942893,337.64942893,17.150241447,1.8375258694,0,7.2480187069,26.235786024,65.531135531,39.295349508,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
11150,01019,565.25715956,3,27,51,362.05581531,Cherokee,23988,76,0,157,208.05581531,365.05581531,289.05581531,357.20134424,276.20134424,51.137046285,284.05581531,50.252493137,281.20134424,200.20134424,9.0224421111,4.776587,0.5307318889,13.445207852,27.774968852,64.582254137,36.807285285,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
11150,01021,625.33629442,0,8,62,409.78997462,Chilton,39593,119,0,189,220.78997462,409.78997462,290.78997462,404.5463198,334.5463198,46.501374895,339.78997462,54.337158686,285.5463198,215.5463198,9.9146652055,1.2793116394,0,19.029760636,30.223737481,65.531135531,35.30739805,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
11150,01025,610.76768354,0,73,0,462.0315119,Clarke,27867,217,0,290,172.0315119,462.0315119,245.0315119,438.73617164,365.73617164,40.118611136,389.0315119,63.695497058,221.73617164,148.73617164,0,11.952171336,0,35.529057258,47.481228594,75.647668394,28.1664398,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
12600,01031,1469.3069307,107,65,100,1011.8811881,Coffee,43615,81,0,353,765.88118812,1118.8811881,1037.8811881,703.42574257,431.42574257,70.637466307,846.88118812,57.638140162,622.42574257,350.42574257,6.8059299191,4.4238544474,7.2823450135,5.5128032345,24.024932615,76.150269542,52.125336927,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
12400,01033,1536.7332351,114,142,103,808.13356669,Colbert,54984,45,0,404,518.13356669,922.13356669,877.13356669,1018.5996684,659.59966839,57.077802879,563.13356669,36.644848555,973.59966839,614.59966839,6.702529603,9.2403806177,7.4183337353,2.9282896324,26.289533588,60.006092511,33.716558923,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
11150,01039,1015.9207921,30,119,119,699.64356436,Covington,37631,107,0,375,354.64356436,729.64356436,622.64356436,661.27722772,393.27722772,61.288593482,461.64356436,45.440901294,554.27722772,286.27722772,11.713511617,11.713511617,2.9529861219,10.532317168,36.912326524,71.82091065,34.908584126,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
11150,01043,1523.9519852,38,61,139,952.46999077,Cullman,77483,160,0,398,592.46999077,990.46999077,830.46999077,931.48199446,693.48199446,54.494498437,752.46999077,49.376226946,771.48199446,533.48199446,9.1210222728,4.0027507816,2.4935168803,10.499018444,26.116308378,64.99351688,38.877208502,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
11400,01045,1324.8267548,134,110,44,653.71436905,Dale,49129,171,0,459,328.71436905,787.71436905,616.71436905,996.11238577,708.11238577,46.55056722,499.71436905,37.719223833,825.11238577,537.11238577,3.321188966,8.3029724151,10.114530033,12.907348027,34.646039441,59.457915247,24.811875806,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
11150,01047,2961.0437253,192,220,308,1829.1884881,Dallas,46365,17,0,737,1284.1884881,2021.1884881,2004.1884881,1676.8552372,956.85523715,67.685204072,1301.1884881,43.943575606,1659.8552372,939.85523715,10.40173765,7.429812607,6.4842000934,0.5741218833,24.889872233,68.259325956,43.369453722,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
11150,01049,1304.8339802,39,59,229,935.31047865,DeKalb,64452,139,0,466,508.31047865,974.31047865,835.31047865,796.52350151,469.52350151,64.016609879,647.31047865,49.608646655,657.52350151,330.52350151,17.550125417,4.5216480332,2.988885988,10.652696214,35.713355652,74.669306093,38.955950441,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
14350,01051,1058.1120424,16,41,34,610.78807997,Elmore,65874,123,0,214,412.78807997,626.78807997,503.78807997,645.32396242,554.32396242,47.611978674,535.78807997,50.636233074,522.32396242,431.32396242,3.2132703001,3.8748259501,1.5121272,11.62447785,20.224701301,59.236456525,39.011755224,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,Alabama
